english,transliteration,arabic,audioUrl,source
at least,3ála lʔaʔáll,على الأقلّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-3.mp3,adverbs_2
"almost, nearly, around, about",taʔrīban,تقْريباً,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-4.mp3,adverbs_2
again,márra tēnyi,مرّة تانْية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-5.mp3,adverbs_2
alone,la-ɧālu,لحالو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-6.mp3,adverbs_2
also,kamēn,كمأن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-7.mp3,adverbs_2
here,hūn,هون,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-8.mp3,adverbs_2
here,hūnī,هوني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-9.mp3,adverbs_2
there,hūnīk,هونيك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-10.mp3,adverbs_2
everywhere,kill maɧáll,كِلّ محلّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-11.mp3,adverbs_2
everywhere,kill makēn,كِلّ مكان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-12.mp3,adverbs_2
I see him everywhere.,bšūfu b-ikill maɧáll.,بْشوفو بِكِلّ محلّ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-13.mp3,adverbs_2
somewhere,šī makēn,شي مكان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-14.mp3,adverbs_2
somewhere,máʈraɧ,مطْرح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-15.mp3,adverbs_2
We can eat somewhere else.,fīna nrūɧ nēkul b-šī makēn tēni.,فينا نْروح ناكُل بْشي مكان تاني.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-16.mp3,adverbs_2
anywhere,wēn makēn,ويْن مكان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-17.mp3,adverbs_2
We can go anywhere.,fīna nrūɧ wēn makēn,فينا نْروح ويْن مكان.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-18.mp3,adverbs_2
nowhere,wála maɧáll,وَلا محلّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-19.mp3,adverbs_2
nowhere,wála makēn,وَلا مكان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-20.mp3,adverbs_2
Nowhere is safe.,wála makēn ēmin.,وَلا مكان آمِن.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-21.mp3,adverbs_2
always,dāyman,دايْماً,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-22.mp3,adverbs_2
She always does her homework.,dāyman btá3mil waʐīfita.,دايْماً بْتعْمِل وَظيفِتا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-23.mp3,adverbs_2
sometime,šī marra,شي مرّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-24.mp3,adverbs_2
Let’s have coffee sometime.,xallīna níbʔa níšrab ʔáhwi šī márra.,خلّينا نِبْقى نِشْرب قهْوِة شي مرّة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-25.mp3,adverbs_2
sometimes,aɧyēnan,أحْياناً,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-26.mp3,adverbs_2
sometimes,awʔāt,أَوْقات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-27.mp3,adverbs_2
I sometimes get up late.,awʔāt bfīʔ mitʔáxxir.,أَوْقات بْفيق مِتْأخِّر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-28.mp3,adverbs_2
anytime,ayy wáʔit,أيّ وَقِت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-29.mp3,adverbs_2
You can call me anytime.,fīk tuttúʂil fīni b-iʔayy wáʔit.,فيك تِتِّصِل فيني بِأيّ وَقِت.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-30.mp3,adverbs_2
never,ábadan,أبداً,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-31.mp3,adverbs_2
never,wála márra,وَلا مرّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-32.mp3,adverbs_2
I never eat breakfast.,mā bitráwwaʔ ábadan.,ما بِتْروَّق أبداً.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-33.mp3,adverbs_2
They’ve never been to Egypt.,wála márra rāɧu 3a máʂir.,وَلا مرّة راحو ع مصِر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-34.mp3,adverbs_2
usually,bi-l3ādi,بِالعادِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-35.mp3,adverbs_2
"I usually go to work by car, but I sometimes walk.",bi-l3ādi brūɧ 3a-ššíɣil b-issayyāra bass fī awʔāt brūɧ máši.,بِالعادِة بْروح عالشِّغِل بِالسّيّارة بسّ في أَوْقات بْروح مشي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-36.mp3,adverbs_2
often,áktar ilwáʔit,أكْتر الوَقِت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-37.mp3,adverbs_2
I often see him at the café.,áktar ilwáʔit bšūfu b-ilkāfē.,أكْتر الوَقِت بْشوفو بِالكافيْه.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-38.mp3,adverbs_2
somehow,kīf mā bá3rif [lit. I don't know how],كيف ما بعْرِف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-39.mp3,adverbs_2
The cat somehow got in the house.,"libsēni fētit 3a-lbēt, kīf mā bá3rif.",الِبْسيْنِة فاتِت عالبيْت، كيف ما بعْرِف.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-40.mp3,adverbs_2
very,ktīr __,كْتير__,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-41.mp3,adverbs_2
very good,ktīr mnīɧ,كْتير مْنيح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-42.mp3,adverbs_2
__ enough,__ mnīɧ,__ مْنيح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-43.mp3,adverbs_2
big enough,kbīr mnīɧ,كْبير مْنيح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-44.mp3,adverbs_2
"too __; too much, too many",__ ktīr,__ كْتير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-45.mp3,adverbs_2
"too __; too much, too many",__ zyēdi 3an illuzūm,__ زْيادِة عن اللُّزوم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-46.mp3,adverbs_2
too big,kbīr zyēdi 3an illuzūm,كْبير زْيادِة عن اللُّزوم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-47.mp3,adverbs_2
too much money,maʂāri ktīr,مصاري كْتير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-48.mp3,adverbs_2
too many people,3ālam ktīr,عالم كْتير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-49.mp3,adverbs_2
well,mnīɧ,مْنيح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-50.mp3,adverbs_2
You speak Arabic well.,btíɧki 3árabi mnīɧ.,بْتِحْكي عربي مْنيح.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-51.mp3,adverbs_2
still; (not) yet),ba3d,بعْد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-52.mp3,adverbs_2
I’m still hungry.,bá3dni jū3ān.,بعْدْني جُعان.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-53.mp3,adverbs_2
He isn’t here yet.,ba3d mā wúʂil.,بعْد ما وِصِل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-55.mp3,adverbs_2
already,min ʔábil,مِن قبِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-56.mp3,adverbs_2
I already told you!,ʔiltílak min ʔábil.,قِلْتِلك مِن قبِل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-57.mp3,adverbs_2
I’ve already eaten lunch.,akálit u xalláʂit.,أكلِت وخلّصِت.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-58.mp3,adverbs_2
just,min šwayy,مِن شْوَيّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-59.mp3,adverbs_2
just,mā yálli šī,ما يَلّي شي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-60.mp3,adverbs_2
I just ate.,hállaʔ akálit mā yálli šī.,هلّق أكلِت ما يَلّي شي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-62.mp3,adverbs_2
inside,júwwa,جُوّا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-63.mp3,adverbs_2
It’s hot today. Let’s stay inside.,lyōm šōb. xallīna júwwa.,اليوْم شوْب. خلّينا جُوّا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-64.mp3,adverbs_2
outside,bárra,برّا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-65.mp3,adverbs_2
Let’s sit outside.,xallīna níʔ3ud bárra.,خلّينا نِقْعُد برّا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-66.mp3,adverbs_2
"abroad, overseas",bárra lbálad,برّا البلد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-67.mp3,adverbs_2
He lives abroad.,3āyiš bárra ilbálad.,عايِش برّا البلد.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-68.mp3,adverbs_2
I’m going abroad next week.,msēfar bárra lbálad lʔusbū3 ijjēy.,مْسافر برّا البلد الأسْبوع الجّاي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-69.mp3,adverbs_2
Come upstairs!,ʈlā3 la-fōʔ!,طْلاع لفوْق!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-71.mp3,adverbs_2
upstairs,fōʔ,فوْق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-70.mp3,adverbs_2
downstairs,táɧit,تحِت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-72.mp3,adverbs_2
animal,ɧayawēn,حَيَوان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-1.mp3,animals_2
pet,ɧayawēn alīf,حَيَوان أليف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-2.mp3,animals_2
Do you have any pets?,3índak ɧayawēnēt alīfi?,عِنْدك حَيَوانات أليفِة؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-3.mp3,animals_2
dog,kálib (klēb),كلِب (كْلاب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-4.mp3,animals_2
cat,bsēni,بْسيْنِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-5.mp3,animals_2
"I like cats, but I don’t like dogs so much.",ána bɧibb libsēnēt bass mā bɧibb liklēb ktīr.,أنا بْحِبّ الِبْسيْنات بسّ ما بْحِبّ الِكْلاب كْتير.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-6.mp3,animals_2
cage,ʔáfaʂ (aʔfāʂ),قفص (أقْفاص),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-7.mp3,animals_2
leash,silsílit kálib (salësil kálib),سِلْسِلِة كلِب (سلاسِل كلِب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-8.mp3,animals_2
dog collar,ʈōʔ (aʈwāʔ),طوْق (أطْواق),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-9.mp3,animals_2
to train,"dárrab, ydárrib",درّب، يْدرِّب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-10.mp3,animals_2
"(pet) food, feed",3álaf,علف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-11.mp3,animals_2
bear,dibb (díbab),دِبّ (دِبب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-12.mp3,animals_2
beaver,ʔíndus (ʔanēdis),قِنْدُس (قنادِس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-13.mp3,animals_2
buffalo,jāmūsi (jawamīs),جاموسِة (جَواميس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-14.mp3,animals_2
cheetah,fáhid (fhūd),فهِد (فْهود),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-16.mp3,animals_2
"deer, gazelle",ɣazēli (ɣizlēn),غزالِة (غِزْلان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-17.mp3,animals_2
elephant,fīl (fíyala),فيل (فِيلة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-18.mp3,animals_2
fox,tá3lab (ta3ālib),تعْلب (تعالِب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-19.mp3,animals_2
giraffe,zarāfi,زرافِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-20.mp3,animals_2
hippopotamus,fáras náhir (ʔafrās náhir),فرس نهِر (أفْراس نهِر),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-21.mp3,animals_2
kangaroo,kangārū,كنْغارو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-22.mp3,animals_2
koala,kuwālā,كُوالا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-23.mp3,animals_2
leopard,nímir,نِمِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-24.mp3,animals_2
lion,ásad (ʔsūd),أسد (أْسود),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-25.mp3,animals_2
mouse; rat,fāra (fīrān),فارة (فيران),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-26.mp3,animals_2
polar bear,dibb ʔúʈbi,دِبّ قُطْبي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-28.mp3,animals_2
rabbit,árnab (arānib),أرْنب (أرانِب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-29.mp3,animals_2
rhinoceros,waɧīd ilʔírin,وَحيد القِرِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-29b.mp3,animals_2
skunk,ʐurbēn,ظُرْبان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-30.mp3,animals_2
squirrel,sinjēb (sanajīb),سِنْجاب (سناجيب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-31.mp3,animals_2
tiger,nímir (nmūra),نِمِر (نْمورة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-32.mp3,animals_2
wolf,zíʔib (zʔēb),زِئِب (زْئاب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-33.mp3,animals_2
seal,fáʔmi (fáʔam),فقْمِة (فقم),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-34.mp3,animals_2
sealion,ásad báɧir (ʔsūd báɧir),أسد بحِر (أْسود بحِر),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-35.mp3,animals_2
dolphin,dōlfīn,دوْلْفين (دلافين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-36.mp3,animals_2
whale,ɧūt (ɧītēn),حوت (حيتان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-37.mp3,animals_2
bird,ʈēr (ʈyūr),طيْر (طْيور),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-38.mp3,animals_2
canary,kanār,كنار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-39.mp3,animals_2
"crow, raven",ɣurāb,غُراب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-40.mp3,animals_2
"dove, pigeon",ɧamēmi,حمامِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-41.mp3,animals_2
"eagle, condor, vulture",nísir,نِسِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-42.mp3,animals_2
"hawk, falcon",ʂáʔir (ʂʔūr),صقِر (صْقور),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-43.mp3,animals_2
ostrich,na3āmi,نعامِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-44.mp3,animals_2
parrot,babaɣāʔ,ببغاء,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-45.mp3,animals_2
peacock,ʈāwūs (ʈawāwīs),طاووس (طواويس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-46.mp3,animals_2
penguin,baʈrīq (baʈāriq),بطْريق (بطارِق),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-47.mp3,animals_2
seagull,náwras (nawēris),نوْرس (نوارِس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-48.mp3,animals_2
"small bird (sparrow, finch, etc.)",3aʂfūr (3ʂāfīr),عصْفور (عْصافير),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-49.mp3,animals_2
stork,liʔlāʔ (laʔēliʔ),لِقْلاق (لقالِق),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-50.mp3,animals_2
swallow,sunūnū (sunūnuwēt),سُنونو (سُنونُوات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-51.mp3,animals_2
swan,báj3a,بجْعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-52.mp3,animals_2
reptiles,zawēɧif [pl.],زَواحِف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-53.mp3,animals_2
cobra,kōbra,كوبْرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-54.mp3,animals_2
crocodile,timsāɧ (tamēsīɧ),تِمْساح (تماسيح),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-55.mp3,animals_2
lizard,siɧlíyyi (saɧālī),سِحْلية (سحالي),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-56.mp3,animals_2
