english,transliteration,arabic
explosives,mufarqi3aat,مفرقعات
battle,ma3raka,معركة
battles,ma3aarik,معارك
clash,ištibaak,اشتباك
clashes,ištibaakaat,اشتباكات
attack,hujuum,هجوم
attack,i3tidaa',اعتداء
attacks,i3tidaa'aat,اعتداءات
ambush,kamiin,كمين
ambushes,kumanaa',كمناء
raid,ġaara,غارة
raids,ġaaraat 3ala,غارات على
aggression,3udwaan 3ala,عدوان على
suicide bombing,3amaliyya intiHaariyya,عملية انتحارية
siege,HiSaar,حصار
invasion,ġazw,غزو
incursion,tawaġġul fi,توغل في
injury,jurH,جرح
injuries,jiraaH,جراح
injured,jariiH,جريح
injureds,jarHa,جرحى
killed,qatiil,قتيل
killeds,qatla,قتلى
to meet one's death,laqiya Hatfahu/maSra3ahu,لقى حتفه | مصرعه
death,wafaah/moot/Hatf/maSra3,وفاة | موت | حتف | مصرع
victim,DaHiyya,ضحية
victims,DaHaaya,ضحايا
martyr,šahiid,شهيد
martyrs,šuhadaa',شهداء
civilian,madani,مدني
civilians,madaniyuun,مدنيون
innocent,bari',برئ
innocents,abriyaa',أبرياء
unarmed,a3zal,أعزل
unarmeds,3uzl,عزل
corpse,jutta,جثة
corpses,jutat,جثث
funeral,janaaza,جنازة
funerals,janaazaat,جنازات
graveyard,jabbaana,جبانة
graveyards,jabbaanaat,جبانات
grave,qabr,قبر
graves,qubuur,قبور
deceased,marHuum,مرحوم
late lamented,ma'suuf,مأسوف
departed ,raaHil,راحل
army,jeiš,جيش
armies,juyuuš,جيوش
 forces,quwwaat musallaHa,قوات 
air force,quwwaat jawwiyya,قوات جوية
regiment,fawj,فوج
regiments,afwaaj,أفواج
tank,dabbaaba,دبابة
tanks,dabbaabaat,دبابات
armored car,mudarra3a,مدرّعة
armored cars,mudarra3aat,مدرّعات
gunman,musallaH,مسلح
gunmen,musallaHuun,مسلحون
rank,rutba,رتبة
ranks,rutab,رتب
soldier,jundi,جندي
soldiers,junuud,جنود
officer,DaabiT,ضابط
officers,DubbaaT,ضباط
sniper,qannaaS,قناص
snipers,qanaaSa,قناصة
commando,miġwaar,مغوار
commandos,maġaawiir,مغاوير
private,3askari,عسكري
corporal,3ariif,عريف
sergeant,raqiib,رقيب
lieutenant,mulaazim,ملازم
major,raa'id,رائد
colonel,3aqiid,عقيد
brigadier general,3amiid,عميد
general,liwaa',لواء
enemy,3aduuww,عدو
enemies,a3daa',أعداء
defeat,haziima,هزيمة
defeats,hazaa'im,هزائم
loss,xusaara,خسارة
victory,naSr,نصر
victory,intiSaar,انتصار
victories,intiSaaraat,انتصارات
treaty; charter,miitaaq,ميثاق
treaty; charters,mawaatiiq,مواثيق
treaty,mu3aahada,معاهدة
treaties,mu3aahadaat,معاهدات
treaty; agreement,ittifaaqiyya,اتفاقية
treaty; agreements,ittifaaqiyyaat,اتفاقيات
agreement,ittifaaq,اتفاق
agreements,ittifaaqaat,اتفاقات
armistice,hudna,هدنة
armistices,hudanaat,هدنات
solution,Hall,حل
solutions,Huluul,حلول
compromise,Hall wasaT,حل وسط
negotiations,mufaawaDaat,مفاوضات
talks,muHaadataat,محادثات
dialogue,Hiwaar,حوار
mediator,wasiiT,وسيط
mediators,wusaTaa',وسطاء
