english,transliteration,arabic
fussy,nimaki,نمكي
irritable,3aSabi,عصبي
to get on s.o.'s nerves,"narviz
 - yinarviz ",نرفز - ينرفز 
brave,šujaa3,شجاع
braves,šug3aan,
bold,jari',جرئ
bolds,gura'a,
cowardly,jabaan,جبان
cowardlies,jubanaa',جبناء
curious,fuDuuli,فضولي
egotistical,maġruur,مغرور
conceited,'aliiT,قليط
pompous,mutakabbir,متكبّر
to make false boasts or claims,hagaS - yihguS ,هجص - يهجص 
to show off,"itmanZar
 - yitmanZar  3ala",اتمنظر - يتمنظر  على
humble,mutawaaDi3,متواضع
sensible,3aaqil,عاقل
sensibles,3uqalaa',عقلاء
insane,majnuun,مجنون
insanes,majaaniin,مجانين
crazy,mahwuus,مهووس
crazies,mahawiis,مهاويس
ignorant,jaahil,جاهل
ignorants,juhalaa',جهلاء
petty,haayif,هايف
stupid,saxiif,سخيف
stupids,suxafaa',سخفاء
stupid,ġabi,غبي
stupids,aġbiyaa',أغبياء
smart,daki,ذكي
smarts,adkiyaa',أذكياء
clever,šaaTir,شاطر
clevers,šaaTiruun,شاطرون
smart,nabiih,نبيه
smarts,nubahaa',نبهاء
clever,naaSiH,ناصح
clevers,nuSaHa,نصحاء
wise ,Hakiim,حكيم
wise s,Hukamaa' ,حكماء 
genius,3abqari,عبقري
geniuses,3abaaqira,عباقرة
noble,nabiil,نبيل
nobles,nubalaa',نبلاء
honorable,šariif,شريف
honorables,šurafaa',شرفاء
honest,amiin,أمين
honests,umanaa' ,أمناء 
truthful,Saadiq,صادق
honest,naziih,نزيه
honests,nuzahaa',نزهاء
straightfoward,doġri,دغري
liar,kaddaab,كذاب
treacherous,ġaddaar,غدار
swindler,naSSaab,نصاب
someone who tells tall tales,faššaar,فشار
cunning,makkaar,مكّار
cruel ,qaasin,قاس
cruel s,qusaah ,قساة 
sophisticated,midardaH,مدردح
naive,saadij,ساذج
naives,suddaaj,سذاج
optimistic,mutafaa'il,متفائل
pessimistic,mutašaa'im,متشائم
unique,fariid,فريد
fun to be around,dammu xafiif,دمه خفيف
funny,muDaHHik,مضحّك
dull,dammu ti'iil,دمه تقيل
tedious,baayix/dammu baayix,بايخ \ دمه بايخ
