english,transliteration,arabic
shorts,'oSaar,قصار
beautiful ,gamiil ,جميل 
handsome,wasiim,وسيم
ugly,weHiš,وحش
uglies,weHšiin,وحشين
dye,Sabġa,صبغة
tattoo,wašm,وشم
tattoos,wušuum,وشوم
scar,nadba,ندبة
scars,andaab,أنداب
