english,transliteration,arabic
cucumber,xiyaar,خيار
zucchini,koosa,كوسا
cabbage,kurumb,كرمب
peas,bisilla,بسلة
radish,figl,فجل
radishes,fujuul,فجول
celery,karafs,كرفس
okra,bamya,بامية
eggplant,bidingaan,بدنجان
artichoke,xaršuuf,خرشوف
artichokes,xaraašiif,خراشيف
spinach,sabaanix,سبانخ
potato,baTaaTis,بطاطس
potatoes,baTaaTis,بطاطس
tomato,TamaaTim,طماطم
onion,baSal,بصل
garlic,toom,توم
clove,faSS,فص
cloves,fuSuuS,فصوص
corn,dura,درة
mushroom,šampinyoon,شمبنيون
pumpkin,3ar' 3asali,عرق عسلي
beans,fuul,فول
chickpeas,HommoS,حمص
lentils,3ads,عدس
soup,šurba,شربة
salad,salaTa,سلطة
meat,laHma,لحمة
meats,luHuum,لحوم
poultry,Zafar,ظفر
chicken,firaax,فراخ
turkey,diik ruumi,ديك رومي
fish,samak,سمك
shrimp,gambari,جمبري
crab,kaburiya,كابوريا
lobster,istakooza,استاكوزا
clam,gandofli,جندوفلي
oyster,maHaar,محار
octopus,uxTabuuT,اخطبوط
bread,3eiš,عيش
loaf of bread*,raġiif,رغيف
loaf of bread*s,arġifa,أرغفة
* Note that a رغيف refers to something different than what Americans would typically think of as a loaf of bread. A رغيف is a whole pita bread or عيش بلدي. Here's a photo of a boy carrying a bunch of أرغفة.,,
a long,3eiš fiinu,عيش فينو
a round bread roll ,3eiš kayzar,عيش كيزر
yeast,xamiira,خميرة
dough,3agiin,عجين
cheese,gibna,جبنة
butter,zibda,زبدة
jam,mirabba,مربّى
yogurt,zabaadi,زبادي
honey,3asal ,عسل 
molasses,3asal iswid,عسل اسود
rice,ruzz,رزّ
pasta,makaroona,مكرونة
egg,beiD,بيض
desserts,Helawiyaat,حلويات
ice cream,aayis kriim,آيس كريم
scoop,boola,بولة
cake,gatooh,جاتيه
gum,libaan,لبان
sugar,sukkar,سكّر
salt,malH,ملح
pepper,filfil,فلفل
oil,zeit,زيت
olive oil,zeit zeituun,زيت زيتون
vinegar,xall,خلّ
spices,buharaat,بهرات
flour,di'ii',دقيق
wheat,'amH,قمح
oats,šufaan,شوفان
barley,ša3iir,شعير
mint,ni3naa3,نعناع
parsley,ba'duunis,بقدونس
cinnamon,'irfa,قرفة
ginger,ganzabiil,جنزبيل
cumin,kammuun,كمون
turmeric,kurkum,كركم
coriander,kuzbara,كزبرة
cloves,'oronfil,قرنفل
saffron,za3faraan,زعفران
thyme,za3tar,زعتر
vegetarian,nabaati,نباتي
nutrition,ġiza,غذاء
appetite,nifs lil-akl,نفس للأكل
boiled,masluu',مسلوق
fried,ma'li,مقلي
grilled,mešwi,مشوي
roasted,rosto,رستو
stuffed,maHši,محشي
minced,mafruum,مفروم
crunchy,mi'armiš,مقرمش
raw,nayy,نيّ
delicious,laziiz,لذيذ
delicious,šahi,شهي
fresh,Taaza,طازة
natural,Tabii3i,طبيعي
tender,Tari,طري
dry,naašif,ناشف
sweet,Helw,حلو
hot ,Haami | Harraa' | mešaTTa,حامي | حرّاق | مشطّة
hot ,suxn,سخن
cold,baarid,بارد
taste,Ta3m,طعم
tastes,Tu3uum,طعوم
flavor,nakha,نكهة
bitter,murr,مرّ
sour,miziz,مزز
spoiled,xasraan,خسران
to go sour ,HimiD - yiHmaD ,حمض - يحمض 
rotten,mi3affin,معفّن
burned,maHruu',محروق
undercooked,mi3aggin,معجّن
