English,Egyptian Arabic,Transliteration
potato,بطاطس,baTaaTis
potatoes,بطاطس,baTaaTis
tomato,طماطم,TamaaTim
onion,بصل,baSal
garlic,توم,toom
clove,فص,faSS
cloves,فصوص,fuSuuS
corn,درة,dura
mushroom,شمبنيون,šampinyoon
pumpkin,عرق عسلي,3ar' 3asali
beans,فول,fuul
chickpeas,حمص,HommoS
lentils,عدس,3ads
soup,شربة,šurba
salad,سلطة,salaTa
meat,لحمة,laHma
meats,لحوم,luHuum
poultry,ظفر,Zafar
chicken,فراخ,firaax
turkey,ديك رومي,diik ruumi
fish,سمك,samak
shrimp,جمبري,gambari
crab,كابوريا,kaburiya
lobster,استاكوزا,istakooza
clam,جندوفلي,gandofli
oyster,محار,maHaar
octopus,اخطبوط,uxTabuuT
bread,عيش,3eiš
loaf of bread*,رغيف,raġiif
loaf of bread*s,أرغفة,arġifa
* Note that a رغيف refers to something different than what Americans would typically think of as a loaf of bread. A رغيف is a whole pita bread or عيش بلدي. Here's a photo of a boy carrying a bunch of أرغفة.,,
a long,عيش فينو,3eiš fiinu
a round bread roll ,عيش كيزر,3eiš kayzar
yeast,خميرة,xamiira
dough,عجين,3agiin
cheese,جبنة,gibna
butter,زبدة,zibda
jam,مربّى,mirabba
yogurt,زبادي,zabaadi
honey,عسل ,3asal 
molasses,عسل اسود,3asal iswid
rice,رزّ,ruzz
pasta,مكرونة,makaroona
egg,بيض,beiD
desserts,حلويات,Helawiyaat
ice cream,آيس كريم,aayis kriim
scoop,بولة,boola
cake,جاتيه,gatooh
gum,لبان,libaan
sugar,سكّر,sukkar
salt,ملح,malH
pepper,فلفل,filfil
oil,زيت,zeit
olive oil,زيت زيتون,zeit zeituun
vinegar,خلّ,xall
spices,بهرات,buharaat
flour,دقيق,di'ii'
wheat,قمح,'amH
oats,شوفان,šufaan
barley,شعير,ša3iir
mint,نعناع,ni3naa3
parsley,بقدونس,ba'duunis
cinnamon,قرفة,'irfa
ginger,جنزبيل,ganzabiil
cumin,كمون,kammuun
turmeric,كركم,kurkum
coriander,كزبرة,kuzbara
cloves,قرنفل,'oronfil
saffron,زعفران,za3faraan
thyme,زعتر,za3tar
vegetarian,نباتي,nabaati
nutrition,غذاء,ġiza
appetite,نفس للأكل,nifs lil-akl
boiled,مسلوق,masluu'
fried,مقلي,ma'li
grilled,مشوي,mešwi
roasted,رستو,rosto
stuffed,محشي,maHši
minced,مفروم,mafruum
crunchy,مقرمش,mi'armiš
raw,نيّ,nayy
delicious,لذيذ,laziiz
delicious,شهي,šahi
fresh,طازة,Taaza
natural,طبيعي,Tabii3i
tender,طري,Tari
dry,ناشف,naašif
sweet,حلو,Helw
hot ,حامي | حرّاق | مشطّة,Haami | Harraa' | mešaTTa
hot ,سخن,suxn
cold,بارد,baarid
taste,طعم,Ta3m
tastes,طعوم,Tu3uum
flavor,نكهة,nakha
bitter,مرّ,murr
sour,مزز,miziz
spoiled,خسران,xasraan
to go sour ,حمض - يحمض ,HimiD - yiHmaD 
rotten,معفّن,mi3affin
burned,محروق,maHruu'
undercooked,معجّن,mi3aggin
